id,name,logo_url,default_bar_unit,default_stack_unit
238620bb-e8c4-45a5-a563-4e6858b7613a,Technogym,,kg,kg
002e5f17-84bc-41fe-b8f4-3dd49526aeef,Life Fitness,,kg,kg
3986245e-24c7-46ee-aa03-8e67b1289d9f,Precor,,kg,kg
8ff74c4f-25e7-4a82-89b4-3e571142c4bf,Matrix,,kg,kg
f71ca4cd-12b2-4213-83e8-e21bb20c68f2,Eleiko,,kg,kg
4e202ad2-2d3b-4868-8f3e-6d4210c482dd,Rogue Fitness,,kg,kg
acc12ccb-48cd-4d79-b215-8b5c24d86ade,York Barbell,,kg,kg
5a83446f-440a-5e5a-8071-f62e6244cbe6,Hammer Strength,,lb,lb
1decce92-8e90-5ce9-94c4-d66989a4981d,Newtech,,kg,kg
2eec52b6-35a4-57ee-8591-72283071f9e3,Panatta,,kg,kg
ae5eaca3-7a8c-5957-99db-a902ba8acc5b,Gym80,,kg,kg
c0802a7e-b07a-5bcb-826a-ef45a8188a7c,Booty Builder,,kg,kg
6dc8a99d-5fe9-5736-9704-e8820d9805b3,Salus,,kg,kg
d151cfa6-307d-5fff-acb4-8223c8db85d9,Lexco,,kg,kg
