exercise_name,bodyPart,category,action
Assisted Hanging Knee Raise With Throw Down,Waist,core,row
Assisted Hanging Knee Raise,Waist,core,raise
Assisted Lying Leg Raise With Lateral Throw Down,Waist,core,row
Assisted Lying Leg Raise With Throw Down,Waist,core,row
Assisted Prone Hamstring,Upper Legs,legs,
Stationary Bike Walk,Cardio,,
Behind Head Chest Stretch,Chest,chest,
Sledge Hammer,Waist,core,
Assisted Lying Calves Stretch,Lower Legs,legs,
Assisted Lying Glutes Stretch,Upper Legs,legs,
Assisted Lying Gluteus And Piriformis Stretch,Upper Legs,legs,
Assisted Side Lying Adductor Stretch,Upper Legs,legs,
Assisted Prone Lying Quads Stretch,Upper Legs,legs,
Assisted Prone Rectus Femoris Stretch,Waist,core,
Assisted Seated Pectoralis Major Stretch With Stability Ball,Chest,chest,
Lever Gripper Hands,Lower Arms,arms,
Cycle Cross Trainer,Cardio,,
Tire Flip,Upper Legs,legs,
Walking On Incline Treadmill,Cardio,,
